season,player_id,sprint_speed
2022,642708,29.4
2022,641658,29.4
2022,624641,29.4
2022,665161,29.4
2022,640492,29.4
2022,671083,29.4
2022,671739,29.4
2022,657041,29.4
2022,665750,29.3
2022,665862,29.3
2022,677950,29.3
2022,664702,29.3
2022,545361,29.3
2022,670042,29.3
2022,605548,29.3
2022,665926,29.3
2022,680776,29.2
2022,663630,29.2
2022,666181,29.2
2022,595281,29.2
2022,641553,29.1
2022,665650,29.1
2022,621439,29.1
2022,623205,29.1
2022,663538,29.1
2022,664056,29.1
2022,656413,29.1
2022,608671,29.1
2022,642180,29.1
2022,677649,29.1
2022,681082,29.0
2022,683002,29.0
2022,594838,29.0
2022,680911,29.0
2022,621433,29.0
2022,682928,29.0
2022,678225,29.0
2022,672724,28.9
2022,457705,28.9
2022,664059,28.9
2022,621446,28.9
2022,657136,28.9
2022,666139,28.9
2022,676694,28.9
2022,668731,28.9
2022,669016,28.8
2022,656495,28.8
2022,666624,28.8
2022,543760,28.8
2022,663757,28.8
2022,669450,28.8
2022,666158,28.8
2022,660757,28.8
2022,656308,28.8
2022,645302,28.8
2022,672779,28.8
2022,621006,28.8
2022,668227,28.8
2022,670764,28.8
2022,669242,28.7
2022,572191,28.7
2022,592663,28.7
2022,545350,28.7
2022,656541,28.7
2022,606157,28.7
2022,663897,28.7
2022,669222,28.7
2022,595751,28.7
2022,669127,28.7
2022,669261,28.6
2022,669256,28.6
2022,593160,28.6
2022,607043,28.6
2022,676801,28.6
2022,663853,28.6
2022,614173,28.6
2022,658668,28.6
2022,606192,28.6
2022,663662,28.6
2022,671221,28.6
2022,656448,28.6
2022,665506,28.6
2022,660644,28.5
2022,660670,28.5
2022,622168,28.5
2022,641684,28.5
2022,621035,28.5
2022,624415,28.5
2022,682073,28.5
2022,642456,28.5
2022,641943,28.5
2022,672580,28.5
2022,656775,28.5
2022,607054,28.5
2022,608070,28.5
2022,621438,28.4
2022,596115,28.4
2022,680757,28.4
2022,643396,28.4
2022,543829,28.4
2022,641313,28.4
2022,578428,28.4
2022,673490,28.4
2022,544725,28.4
2022,644374,28.4
2022,621493,28.4
2022,656305,28.4
2022,621020,28.4
2022,669743,28.4
2022,676628,28.4
2022,668904,28.4
2022,640458,28.4
2022,656716,28.3
2022,650489,28.3
2022,670242,28.3
2022,673548,28.3
2022,656185,28.3
2022,669911,28.3
2022,514917,28.3
2022,664238,28.3
2022,456715,28.3
2022,541645,28.3
2022,650339,28.3
2022,543807,28.3
2022,660271,28.2
2022,668804,28.2
2022,666160,28.2
2022,641513,28.2
2022,669701,28.2
2022,668952,28.2
2022,676391,28.2
2022,666915,28.2
2022,630105,28.2
2022,571976,28.2
2022,643289,28.2
2022,676369,28.2
2022,642721,28.2
2022,606132,28.2
2022,642731,28.2
2022,596103,28.2
2022,663457,28.2
2022,680814,28.2
2022,670768,28.2
2022,444876,28.2
2022,656514,28.2
2022,592885,28.1
2022,666134,28.1
2022,686676,28.1
2022,671289,28.1
2022,593871,28.1
2022,602074,28.1
2022,670770,28.1
2022,623912,28.1
2022,542194,28.1
2022,641505,28.1
2022,656248,28.1
2022,666185,28.1
2022,641355,28.1
2022,514888,28.1
2022,672356,28.0
2022,662139,28.0
2022,628338,28.0
2022,595909,28.0
2022,664728,28.0
2022,641779,28.0
2022,570481,28.0
2022,594807,28.0
2022,545341,28.0
2022,647351,28.0
2022,650859,27.9
2022,516782,28.0
2022,605113,27.9
2022,664314,27.9
2022,595879,27.9
2022,502054,27.9
2022,622534,27.9
2022,666969,27.9
2022,592325,27.9
2022,673357,27.9
2022,665482,27.9
2022,593428,27.9
2022,500871,27.9
2022,543257,27.9
2022,606992,27.9
2022,676632,27.9
2022,664023,27.9
2022,621028,27.9
2022,641584,27.9
2022,543305,27.9
2022,641531,27.9
2022,663647,27.9
2022,518586,27.8
2022,596146,27.8
2022,624414,27.8
2022,680700,27.8
2022,621450,27.8
2022,667670,27.8
2022,572008,27.8
2022,679529,27.8
2022,664913,27.8
2022,663743,27.8
2022,453568,27.8
2022,621550,27.8
2022,677551,27.8
2022,676480,27.8
2022,571980,27.8
2022,669720,27.8
2022,650559,27.8
2022,572041,27.8
2022,624503,27.8
2022,669004,27.8
2022,663586,27.8
2022,609275,27.8
2022,642715,27.8
2022,669394,27.7
2022,572204,27.7
2022,621453,27.7
2022,657557,27.7
2022,687093,27.7
2022,666464,27.7
2022,682985,27.7
2022,670032,27.7
2022,663697,27.7
2022,649557,27.7
2022,656669,27.7
2022,516416,27.7
2022,670276,27.7
2022,657061,27.7
2022,670712,27.7
2022,668709,27.7
2022,669397,27.7
2022,642727,27.7
2022,592206,27.7
2022,547180,27.6
2022,666135,27.6
2022,622268,27.6
2022,596019,27.6
2022,672820,27.6
2022,643217,27.6
2022,657656,27.6
2022,592696,27.6
2022,546991,27.6
2022,675656,27.6
2022,665828,27.6
2022,664029,27.6
2022,605119,27.5
2022,622682,27.6
2022,645277,27.5
2022,575929,27.5
2022,444482,27.5
2022,501571,27.5
2022,664040,27.5
2022,669374,27.5
2022,672515,27.5
2022,592348,27.5
2022,666182,27.5
2022,669257,27.5
2022,686823,27.5
2022,663624,27.5
2022,643376,27.5
2022,670869,27.5
2022,592622,27.5
2022,592192,27.5
2022,668715,27.4
2022,668843,27.4
2022,660162,27.4
2022,671218,27.4
2022,605141,27.4
2022,660829,27.4
2022,660650,27.4
2022,663611,27.4
2022,609280,27.4
2022,678662,27.4
2022,628451,27.4
2022,608703,27.4
2022,666801,27.4
2022,643446,27.4
2022,621563,27.3
2022,660636,27.3
2022,668942,27.3
2022,665019,27.3
2022,544369,27.3
2022,681481,27.3
2022,666971,27.3
2022,592450,27.3
2022,660821,27.3
2022,672695,27.3
2022,608686,27.3
2022,592178,27.3
2022,672284,27.3
2022,596117,27.3
2022,679631,27.3
2022,600869,27.3
2022,663698,27.2
2022,656811,27.2
2022,680977,27.2
2022,571970,27.2
2022,640457,27.2
2022,668472,27.2
2022,608336,27.2
2022,668939,27.1
2022,545121,27.1
2022,543281,27.1
2022,606993,27.1
2022,592669,27.1
2022,663993,27.1
2022,608701,27.1
2022,543543,27.1
2022,621043,27.1
2022,650490,27.1
2022,596059,27.1
2022,542364,27.1
2022,686681,27.1
2022,641856,27.0
2022,598265,27.1
2022,518792,27.0
2022,664761,27.0
2022,669065,27.0
2022,673962,27.0
2022,592273,27.0
2022,570731,27.0
2022,624585,27.0
2022,669357,27.0
2022,546318,27.0
2022,671277,27.0
2022,573262,27.0
2022,669289,27.0
2022,669087,27.0
2022,606466,27.0
2022,661388,27.0
2022,663616,27.0
2022,572816,27.0
2022,542921,26.9
2022,642336,26.9
2022,493329,26.9
2022,571771,26.9
2022,650402,26.9
2022,681146,26.9
2022,641487,26.9
2022,621532,26.9
2022,656896,26.9
2022,683146,26.9
2022,650333,26.9
2022,660707,26.9
2022,571745,26.9
2022,518692,26.9
2022,608596,26.8
2022,624428,26.8
2022,622110,26.8
2022,666211,26.8
2022,657077,26.8
2022,656582,26.8
2022,607461,26.8
2022,650907,26.8
2022,660766,26.8
2022,676701,26.8
2022,664247,26.8
2022,542340,26.8
2022,663728,26.8
2022,676950,26.7
2022,665155,26.7
2022,656695,26.8
2022,660634,26.8
2022,571657,26.7
2022,665489,26.7
2022,681584,26.7
2022,613564,26.7
2022,623168,26.7
2022,663898,26.7
2022,663656,26.7
2022,602104,26.7
2022,656180,26.7
2022,605131,26.7
2022,623520,26.6
2022,592743,26.6
2022,657757,26.6
2022,623993,26.6
2022,665154,26.6
2022,542303,26.6
2022,640449,26.6
2022,670541,26.6
2022,665742,26.6
2022,608324,26.6
2022,663886,26.6
2022,572233,26.6
2022,595777,26.6
2022,664670,26.6
2022,656976,26.6
2022,642020,26.5
2022,501659,26.5
2022,595284,26.5
2022,605204,26.5
2022,677954,26.5
2022,661531,26.4
2022,641914,26.4
2022,543592,26.4
2022,656941,26.4
2022,606115,26.4
2022,501303,26.4
2022,649966,26.4
2022,518934,26.4
2022,670351,26.4
2022,500743,26.4
2022,503556,26.4
2022,683021,26.4
2022,641598,26.4
2022,664731,26.4
2022,592518,26.4
2022,621566,26.3
2022,663845,26.3
2022,643265,26.3
2022,543228,26.3
2022,502671,26.3
2022,488771,26.3
2022,669742,26.3
2022,605612,26.3
2022,642086,26.3
2022,643393,26.3
2022,608577,26.3
2022,605137,26.2
2022,543685,26.3
2022,669304,26.2
2022,683734,26.2
2022,608369,26.2
2022,660620,26.2
2022,620443,26.2
2022,543939,26.2
2022,670623,26.2
2022,502110,26.1
2022,462101,26.1
2022,669221,26.1
2022,518595,26.1
2022,664058,26.1
2022,641511,26.1
2022,543510,26.1
2022,668721,26.1
2022,672478,26.1
2022,642165,26.1
2022,669134,26.1
2022,668751,26.1
2022,664901,26.1
