season,player_id,pa,offense_runs,total_innings,field_innings,defense_runs
2022,641598,215,-0.26483255819675433,443.32735377407863,123.00000000000001,-3.533781400648171
2021,592206,574,34.495161985138665,1147.957729794781,980.3333333333333,-8.990187731565683
2021,668942,550,7.179153288959924,853.7260168732812,799.6666666666669,7.896335926401661
2024,669304,429,2.845517144440124,915.2249088330386,724.6666666666667,-14.747505482771297
2024,623912,246,-6.199875834092376,498.9051854940219,7.333333333333333,-2.627265337624519
2022,666135,156,-5.388487405159755,349.3783563085294,312.33333333333337,-2.3879738639103802
2021,453943,40,-5.2856401795639485,94.29311193784878,60.0,-1.9249616390006414
2024,543685,238,-6.700247441230598,482.66666666666663,428.66666666666663,-7.230612428535336
2021,608348,359,1.1337758230512387,756.4099677098052,722.6666666666666,5.7340650340485535
2024,669137,39,-2.3893451150341747,79.4076841465171,48.0,0.7334785533291337
2025,575929,563,12.270361142959567,1150.2979324614003,893.6666666666665,-3.065967801961733
2023,680757,718,5.382639252028107,1384.4156862745099,1352.3333333333335,46.7599274998326
2021,664789,133,-7.862584460496042,297.33956528382475,257.3333333333333,0.8433332470229312
2021,545361,146,16.9852183408246,296.9464101430046,277.6666666666667,-5.707917559217319
2022,643376,248,13.12083621996902,556.5773024990292,515.0,6.080583731490789
2021,595879,542,18.621085994008393,1139.5963633563142,1063.6666666666665,16.482952667190062
2022,570731,510,-25.998116974825887,1127.7666666666669,1110.6666666666667,2.94821565652743
2024,641779,28,1.4186625140679228,62.75000000000001,47.0,2.667200061061342
2022,642708,670,5.556137072450836,1334.5142223863763,1221.3333333333333,-5.642823577460208
2021,518586,271,-2.735468274938869,713.4197860962568,685.0,4.932554639193584
2024,671056,259,10.672496298755025,581.4957110532723,493.33333333333337,-2.7431676467781374
2025,592669,108,-10.029423834864513,237.91558441558442,216.0,-5.1234856952235965
2022,668751,232,-2.6867740600326147,533.9515749867724,433.33333333333337,-11.936560543627591
2023,676701,227,-10.16273681981995,690.1637313137312,681.3333333333333,-0.04782151162872861
2025,656582,80,-6.333250274485463,184.1507460880375,125.0,-1.4157251251899887
2023,608385,197,-7.070455947634433,424.13132006778267,35.0,-6.437891743260842
2022,622110,247,-4.548176221940025,684.6590013644892,670.0,-10.821265968506175
2022,666158,471,13.883216369220365,1114.4065621370498,1091.6666666666667,-14.181025614227828
2025,669221,337,-3.7754421082052376,744.8098899497927,661.3333333333334,6.204441812053571
2024,621043,367,19.694826334521878,717.9285714285714,707.0,0.40483366260227716
2021,547172,30,-3.2611932380357933,92.00517964857069,80.66666666666667,-0.3151891242713371
2022,443558,507,-9.082972904197398,1054.2479725727674,0.0,-12.653867983555156
2023,542583,115,-3.5204020825613203,257.814611986009,167.33333333333334,-6.031288747449014
2025,467793,474,-8.113961325905441,1040.1900328114616,870.3333333333334,13.588748019044981
2021,650559,219,2.17578335542116,432.5073891625615,395.0,-0.2790576989748015
2023,650559,626,-8.749244970655976,1234.0725673829124,1183.6666666666667,10.735195407888826
2024,645302,295,18.246691409794746,567.4061994841845,452.6666666666667,12.802854070046493
2022,623520,127,4.14901236783925,341.4844272844273,334.6666666666667,-3.080739721223211
2024,680728,87,4.2642368284456875,215.13157894736844,213.0,-2.8633088873734382
2023,680911,314,-3.722284589909095,817.6831556676423,775.3333333333333,-5.243590315708067
2023,656308,97,-4.207536310026824,209.45751777490136,160.0,2.959460942321402
2021,621006,105,-6.142184258610106,307.0,307.0,-0.6388042925140236
2023,608348,151,-8.534125442786667,395.3474535603715,366.0,4.708798011304006
2025,691781,274,-16.208282885598763,611.6326415701416,596.6666666666666,-5.6386475594442125
2023,677592,103,-8.416610614908723,239.66666666666666,239.66666666666666,-1.0896943602256668
2022,596115,396,3.4262785812691376,815.6871657754011,798.0,3.908419392551492
2022,621433,225,-10.517016076005191,503.0872430715293,420.66666666666663,11.626445471076929
2022,641856,57,-5.760450128128136,159.6477335164835,137.0,-3.0979676259238014
2024,641645,187,-6.4285101547106365,466.0340617323534,413.6666666666667,5.613540291582337
2022,608422,22,-3.437366422121495,53.40573152337858,40.33333333333333,-0.5824723459291126
2024,642201,42,1.6595411261801603,261.66666666666663,261.66666666666663,-8.784698560781505
2024,593871,469,-10.38435728249181,995.6506052364955,949.6666666666667,-7.883987263611781
2025,663898,128,-6.0840620207749785,282.52091231503,251.0,-4.414685095558538
2022,643446,589,35.17046204419215,1255.6431787429863,1131.0,6.416772605848775
2024,671213,243,3.756802829635326,540.1891891891892,538.0,5.993809603116521
2021,467827,107,-3.4543684424024157,304.1961298779132,242.0,-2.206364525526975
2024,665487,438,21.66880134148884,868.2661122661123,828.0,-9.036049600968084
2025,669369,84,4.407337868098976,460.26607387140905,456.0000000000001,-11.915617843679023
2024,641487,451,-4.22487662262159,904.5019483767046,852.6666666666667,10.091898723437588
2021,680911,100,-4.026974877995839,470.7462365591398,448.33333333333337,-12.43087124291268
2024,663630,15,0.841948597461069,71.4857142857143,54.0,-0.695078856754181
2025,694359,23,-2.637164785818473,78.0,78.0,-0.8167928269149114
2023,660634,27,-1.7122773052224585,47.9009009009009,41.333333333333336,2.2735348620596083
2025,666023,348,-9.472582080364042,812.4967513578681,745.6666666666667,8.719470592624578
2025,663886,342,0.08451803120240142,760.6733984520736,609.6666666666667,3.7185415941602997
2023,671732,129,-7.741699030211909,278.96033934305257,237.0,0.8180694792446822
2021,656308,124,-6.132901714810215,318.6799719887955,306.3333333333333,7.552471972793628
2025,680977,515,16.115430001963656,1081.1433370660693,1054.9999999999998,-8.889003706010405
2025,642215,125,-1.3680371662722406,345.78565030662594,290.6666666666667,-6.041012486193804
2022,622569,16,-0.5205168392197277,45.66666666666667,45.66666666666667,-4.746201714015491
2024,669364,303,17.316341887071708,591.3583333333333,589.3333333333334,-12.838774882887227
2024,571771,393,-9.227154870427508,866.1947072879566,783.3333333333333,14.959009263419977
2022,605253,8,-0.8977262226811784,19.0,19.0,-0.4624866033091654
2025,642136,190,-2.061113942761324,416.39085981701146,359.3333333333333,0.8176002218383756
2022,676369,206,-1.0874424803371339,609.5562445528088,584.0,-26.0606968359959
2021,519222,62,-5.350720083549676,191.69824883449883,177.66666666666666,1.1190111688708941
2025,621512,37,-0.5101123529559839,84.37837837837837,80.0,-0.036677098342528344
2024,679032,363,-9.133662100031957,999.4592760180997,995.0,-11.622526601426785
2021,641561,54,-3.6092959632015886,114.94434978799549,92.33333333333331,0.44334823074325774
2024,666165,38,1.0141774793469744,82.22486960644855,53.33333333333333,-0.7499493706971395
2024,649557,34,-5.347637092214683,112.66666666666667,112.66666666666667,-0.9917884194985703
2021,663698,6,-0.27320632953924817,11.25,9.0,-0.3004145313792012
2022,608700,186,-10.452828941053735,440.1566741926498,394.0,-1.4135511536336631
2021,592444,98,-7.457809923168428,247.66666666666666,247.66666666666666,6.9462218688170445
2021,673451,179,-10.400928791285747,573.2130490197508,522.3333333333334,-12.31144599040849
2022,656821,34,-5.036875484409468,74.33368244658567,47.0,-1.3544583475125553
2022,668472,182,-5.254261207373259,378.35933075933076,362.6666666666667,2.1788936265568317
2025,660162,289,7.652957821698185,634.8254151609415,546.0,-2.184555796438974
2023,641525,86,-4.895451238745153,245.3383155533255,218.33333333333334,-1.2209246355935015
2025,691406,653,19.84975678731893,1324.0600225225226,1278.3333333333333,-15.017116667386677
2021,624415,294,-4.8552950932583485,681.3333333333334,672.3333333333334,-10.292197697870407
2022,621446,39,-0.12183100237952282,88.93786831944726,62.99999999999999,-3.0738889288460305
2023,680700,102,2.684526313173298,219.58669915750784,202.33333333333334,0.5817511845105185
2022,546990,4,-0.2545278432797743,9.0,9.0,-1.0943217071209652
2022,672724,57,2.5444680317414714,121.85585585585585,119.66666666666666,-0.9065644231134801
2023,693304,128,-5.9531736676360705,325.13157894736844,323.0,-3.2832332731575007
2021,672701,46,-1.0449188541108678,94.20312107773407,74.0,-3.5948510181159854
2024,665120,60,-0.7661950367617347,127.31428571428572,125.0,2.6822839623538046
2024,663837,565,9.58426568654537,1205.939882071014,1168.6666666666667,2.496603239007028
2022,672820,36,-4.723159960456906,78.43137254901961,73.66666666666666,-3.4894564623186275
2022,614173,275,0.15759070532218056,619.5882684128026,572.0,-7.024460786934574
2024,605204,157,-3.0065417581277263,402.7355867769458,333.3333333333333,-11.261346816986688
2021,642736,96,-11.87624563940237,272.10119958972797,259.66666666666663,-5.567460967920896
2024,686554,104,-2.12756940197329,233.80237603443635,175.0,1.9684806183412362
2021,624513,263,-5.880360005529509,609.5484113091186,549.6666666666666,3.356786145683283
2022,665923,36,-3.321501676243553,97.83333333333333,93.33333333333333,0.005361517784586267
2024,665561,56,2.517327480133895,126.66666666666666,126.66666666666666,1.9324727191905404
2021,669288,44,-0.9164353408868746,173.7214137214137,163.0,-0.6788862596706525
2025,669256,11,-2.0764336886437187,19.0,19.0,1.1110100868770423
2023,681351,199,2.783158264019496,441.17204301075265,424.3333333333333,2.3567203750164962
2023,641432,149,-1.414038556959018,326.4278088030607,89.66666666666666,-11.250290696637187
