steal,inning,half,batting_score_diff,outs,hold_we,success_we,caught_we,we_break_even_success,elite_90_we_gain,primary_success_probability,max_replacement_cost_wpa,adverse_battery_success_probability,adverse_battery_we_gain,re_break_even_success,elite_90_run_gain,max_replacement_cost_ubr_runs,max_replacement_cost_war,worth_before_replacement_cost
1B_to_2B,2,top,-2,0,0.302503,0.327971,0.230420,0.738922,0.015713,0.931467,0.018783,0.900000,0.015713,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,2,top,-2,1,0.260914,0.277149,0.212110,0.750377,0.009731,0.931467,0.011778,0.900000,0.009731,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,2,top,-2,2,0.227355,0.237396,0.200778,0.725783,0.006379,0.931467,0.007531,0.900000,0.006379,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,2,top,-1,0,0.412820,0.441641,0.337547,0.723133,0.018411,0.931467,0.021687,0.900000,0.018411,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,2,top,-1,1,0.369850,0.388561,0.317635,0.736186,0.011619,0.931467,0.013850,0.900000,0.011619,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,2,top,-1,2,0.334202,0.345903,0.304911,0.714551,0.007602,0.931467,0.008892,0.900000,0.007602,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,2,top,0,0,0.529696,0.560939,0.459949,0.690630,0.021144,0.931467,0.024322,0.900000,0.021144,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,2,top,0,1,0.489649,0.510500,0.440400,0.702551,0.013841,0.931467,0.016047,0.900000,0.013841,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,2,top,0,2,0.455762,0.469162,0.427334,0.679647,0.009217,0.931467,0.010533,0.900000,0.009217,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,2,top,1,0,0.647655,0.670035,0.593861,0.706197,0.014763,0.931467,0.017160,0.900000,0.014763,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,2,top,1,1,0.617192,0.631966,0.579051,0.720795,0.009483,0.931467,0.011148,0.900000,0.009483,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,2,top,1,2,0.591271,0.600617,0.569301,0.701562,0.006214,0.931467,0.007200,0.900000,0.006214,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,2,top,2,0,0.733230,0.755423,0.689663,0.662522,0.015617,0.931467,0.017686,0.900000,0.015617,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,2,top,2,1,0.708163,0.723267,0.676763,0.675211,0.010454,0.931467,0.011917,0.900000,0.010454,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,2,top,2,2,0.686480,0.696352,0.667799,0.654254,0.007017,0.931467,0.007915,0.900000,0.007017,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,2,top,3,0,0.811959,0.823165,0.785522,0.702310,0.007442,0.931467,0.008626,0.900000,0.007442,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,2,top,3,1,0.796994,0.804416,0.778188,0.717012,0.004800,0.931467,0.005625,0.900000,0.004800,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,2,top,3,2,0.784211,0.788920,0.773333,0.697848,0.003151,0.931467,0.003641,0.900000,0.003151,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,2,bottom,-3,0,0.283655,0.305775,0.220132,0.741717,0.013556,0.931467,0.016251,0.900000,0.013556,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,2,bottom,-3,1,0.246371,0.260391,0.204357,0.749795,0.008417,0.931467,0.010180,0.900000,0.008417,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,2,bottom,-3,2,0.217096,0.225803,0.194744,0.719663,0.005601,0.931467,0.006578,0.900000,0.005601,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,2,bottom,-2,0,0.383221,0.405118,0.312630,0.763244,0.012648,0.931467,0.015559,0.900000,0.012648,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,2,bottom,-2,1,0.342918,0.356473,0.295320,0.778343,0.007440,0.931467,0.009364,0.900000,0.007440,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,2,bottom,-2,2,0.310512,0.318613,0.284971,0.759216,0.004736,0.931467,0.005795,0.900000,0.004736,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,2,bottom,-1,0,0.483617,0.517654,0.403954,0.700642,0.022667,0.931467,0.026245,0.900000,0.022667,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,2,bottom,-1,1,0.437951,0.460488,0.382032,0.712747,0.014691,0.931467,0.017160,0.900000,0.014691,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,2,bottom,-1,2,0.399540,0.413918,0.367590,0.689653,0.009745,0.931467,0.011203,0.900000,0.009745,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,2,bottom,0,0,0.615163,0.642417,0.549384,0.707052,0.017950,0.931467,0.020878,0.900000,0.017950,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,2,bottom,0,1,0.578045,0.596033,0.531243,0.722371,0.011509,0.931467,0.013548,0.900000,0.011509,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,2,bottom,0,2,0.546339,0.557694,0.519288,0.704333,0.007515,0.931467,0.008723,0.900000,0.007515,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,2,bottom,1,0,0.718743,0.747333,0.666166,0.647767,0.020473,0.931467,0.023027,0.900000,0.020473,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,2,bottom,1,1,0.688220,0.707834,0.650241,0.659443,0.013854,0.931467,0.015667,0.900000,0.013854,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,2,bottom,1,2,0.661756,0.674700,0.639006,0.637376,0.009374,0.931467,0.010498,0.900000,0.009374,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,2,bottom,2,0,0.818641,0.828007,0.789842,0.754613,0.005549,0.931467,0.006750,0.900000,0.005549,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,2,bottom,2,1,0.802776,0.808675,0.782415,0.775349,0.003273,0.931467,0.004099,0.900000,0.003273,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,2,bottom,2,2,0.789261,0.792772,0.777808,0.765381,0.002014,0.931467,0.002485,0.900000,0.002014,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,2,bottom,3,0,0.857712,0.874646,0.829457,0.625267,0.012415,0.931467,0.013837,0.900000,0.012415,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,2,bottom,3,1,0.841507,0.853287,0.820393,0.641884,0.008490,0.931467,0.009526,0.900000,0.008490,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,2,bottom,3,2,0.826945,0.834768,0.813760,0.627642,0.005722,0.931467,0.006383,0.900000,0.005722,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,3,top,-3,0,0.216196,0.228574,0.160789,0.817393,0.005600,0.931467,0.007732,0.900000,0.005600,0.728116,0.150082,0.177557,0.018125,True
1B_to_2B,3,top,-3,1,0.184123,0.191003,0.148665,0.837490,0.002647,0.931467,0.003978,0.900000,0.002647,0.724120,0.104202,0.122845,0.012540,True
1B_to_2B,3,top,-3,2,0.159854,0.163547,0.142187,0.827099,0.001557,0.931467,0.002229,0.900000,0.001557,0.701135,0.066166,0.076636,0.007823,True
1B_to_2B,3,top,-2,0,0.288020,0.317369,0.210265,0.725983,0.018638,0.931467,0.022009,0.900000,0.018638,0.728116,0.150082,0.177557,0.018125,True
