year,catcher,pop_time,distance,lead,sprint,is_cs,is_sb,tracked,pitchout
2021,607732,1.528,40.12634368785185,36.285,28.3,0,1,1,0
2021,607732,1.597,50.360403728588004,27.775,28.6,0,1,1,0
2021,607732,NA,37.18234610767418,39.07,27.6,0,1,0,0
2021,607732,1.513,48.84033249392713,29.103,27.2,0,1,1,0
2021,607732,NA,43.96896742266473,32.888,27.7,0,1,0,0
2021,607732,1.518,46.41857208055304,33.005,28.9,0,1,1,0
2021,608348,1.485,46.92866868946215,31.384,26.7,0,1,1,0
2021,608348,1.485,56.00923448180378,23.376,29,1,0,1,0
2021,608348,1.502,44.37626520044828,32.529,28.4,0,1,1,0
2021,608348,1.535,49.506285286932176,30.664,28.2,1,0,1,0
2021,608348,NA,47.354048499574155,30.781,27.7,0,1,0,0
2021,608596,NA,44.485680889788625,34.854,28.8,0,1,0,0
2021,608596,NA,45.24142510885228,32.122,27.8,0,1,0,0
2021,608596,NA,51.28050387227747,28.291,29.8,0,1,0,0
2021,608596,NA,46.8020286916468,31.566,28.9,0,1,0,0
2021,608596,NA,39.99273589075357,36.716,30,0,1,0,0
2021,608596,1.549,47.513881708671214,31.022,30.1,0,1,1,0
2021,608596,NA,38.006967506439246,39.466,29.4,0,1,0,0
2021,608596,NA,49.46546840949307,29.988,29,0,1,0,0
2021,608700,NA,68.43097888493611,17.513,28.9,1,0,0,0
2021,608700,NA,50.228460962873875,28.206,27.3,0,1,0,0
2021,608700,NA,43.54579940325617,33.853,26.6,0,1,0,0
2021,608700,1.644,49.69916441414681,28.13,28.1,0,1,1,0
2021,620443,1.528,50.45415216798154,28.091,28.2,0,1,1,0
2021,620443,1.461,48.994327593195756,31.456,28,1,0,1,0
2021,620443,1.508,48.69613547584535,29.474,27.1,0,1,1,0
2021,620443,NA,45.2460091083928,35.223,26.1,0,1,0,0
2021,621512,1.38,47.365674616255596,31.335,28.1,1,0,1,0
2021,624431,1.536,45.752909234466706,32.388,26.7,0,1,1,0
2021,624431,NA,45.077526242045295,33.057,28.9,0,1,0,0
2021,624431,NA,50.870482328713145,27.614,26.8,0,1,1,0
2021,624431,1.598,51.68539176004726,28.096,28.7,1,0,1,0
2021,624431,NA,29.37139072678723,48.943,23,0,1,0,0
2021,624431,1.524,45.19173576817868,34.281,28.8,0,1,1,0
2021,624431,1.541,47.91376495323016,30.952,27.9,0,1,1,0
2021,624512,NA,46.479860502944454,34.333,28,0,1,0,0
2021,624512,NA,42.93122318552311,33.732,28.8,0,1,0,0
2021,624512,1.433,54.26004575081994,24.892,29.4,1,0,1,0
2021,624512,1.486,47.54863682254502,32.073,28.5,0,1,1,0
2021,624512,1.493,57.4075185799875,24.543,25.4,1,0,1,0
2021,624512,1.46,46.96955884428086,32.405,27.5,0,1,1,0
2021,624513,1.531,47.625056005709425,30.687,27.7,1,0,1,0
2021,624513,1.507,51.3189093837101,26.642,27.8,1,0,1,0
