season,runner_id,catcher_id,pop_time,pop_n,sprint_speed,caught
2023,680776,663728,1.96,66,29.5,0
2023,650489,605131,2.01,29,28.6,0
2023,677951,668939,1.91,51,30.5,0
2023,673548,672275,1.87,51,28.5,1
2023,650489,543510,2.01,25,28.6,0
2023,516782,605131,2.01,29,27.1,0
2023,680869,455117,1.93,55,29.0,1
2023,641856,521692,1.98,26,27.1,0
2023,641933,669127,1.9,68,28.5,0
2023,696285,605170,2.06,31,30.0,0
2024,691026,542194,1.9,29,28.8,1
2024,677951,455117,1.97,17,30.5,0
2024,656555,663698,2.0,35,25.3,0
2024,676059,669224,1.98,45,29.0,1
2024,660688,518595,1.98,37,25.0,0
2024,680700,669127,1.91,70,27.9,0
2024,657041,518595,1.98,37,29.3,0
2024,676801,620443,1.87,19,28.7,1
2024,673490,595978,1.94,19,28.3,0
2024,666139,669224,1.98,45,28.4,1
2024,682829,660688,2.06,57,30.0,0
2024,669004,642020,1.97,15,27.8,1
2024,665926,608348,1.97,51,28.9,0
2024,682829,663698,2.0,35,30.0,0
2024,670764,669134,1.97,25,27.8,0
2024,665862,663728,1.95,70,28.6,0
2024,694362,518595,1.98,37,29.3,0
2024,656775,672275,1.85,58,28.3,0
2025,681082,660688,2.0,42,28.8,0
2025,621493,669224,1.97,42,27.3,0
2025,650489,641598,2.04,23,28.2,0
2025,666969,680777,1.98,34,27.0,0
2025,686475,656180,1.93,35,28.9,0
2025,596019,682663,1.99,53,27.4,0
2025,691718,686948,1.95,63,29.5,0
2021,646240,620443,2.0,9,27.1,0
2021,595777,608348,1.98,21,26.2,0
2021,593160,666163,1.92,8,28.6,0
2021,663647,444489,1.94,21,27.8,1
2021,592192,543592,2.01,18,27.8,1
2021,596103,669257,1.96,56,28.4,0
2021,668731,518735,2.06,29,28.8,0
2022,622761,642336,1.95,24,30.1,0
2022,405395,664850,2.05,7,22.7,0
2022,677594,641680,1.99,46,29.7,0
2022,519058,608348,1.98,39,25.1,0
2022,543305,642336,1.95,24,27.9,0
2022,623205,521692,1.99,18,29.1,0
2022,677950,543592,2.01,36,29.3,0
2022,592206,543592,2.01,36,27.7,1
2022,593160,519390,2.12,7,28.6,0
2022,677594,455117,1.92,40,29.7,1
2022,669004,571466,1.99,38,27.8,0
2022,666969,455117,1.92,40,27.9,0
2022,668731,663728,1.99,47,28.9,0
2023,671277,669221,1.9,53,27.2,1
2023,677551,592200,1.99,13,27.5,1
2023,573262,607732,1.97,41,27.0,1
2023,658668,506702,1.96,11,28.6,0
2023,621550,607732,1.97,41,27.7,0
2023,572191,595956,1.97,30,28.7,0
2023,542932,665804,1.98,17,29.3,0
2023,657557,605131,2.01,29,26.8,0
2023,630105,663743,2.01,44,28.3,0
2023,663757,595956,1.97,30,27.7,0
2023,641313,669127,1.9,68,27.2,0
2023,668227,518595,1.97,39,28.4,0
2023,676724,543309,1.98,43,28.5,0
2023,663656,641680,1.97,57,26.6,0
2023,682928,669127,1.9,68,28.6,1
2023,686668,650907,1.87,11,29.9,0
2023,682998,641680,1.97,57,30.1,0
2023,543807,660688,2.06,64,27.8,0
2023,666969,663728,1.96,66,27.3,1
2023,645277,592663,1.83,50,27.6,1
2023,592663,669221,1.9,53,28.6,1
2023,666969,672515,1.9,33,27.3,0
2024,606192,672275,1.85,58,28.6,1
2024,666969,673237,1.97,73,26.8,0
2024,687263,521692,2.01,24,28.2,0
2024,679032,542194,1.9,29,30.1,0
2024,592885,608348,1.97,51,28.5,0
2024,680718,666310,1.97,38,28.0,0
2024,592626,543877,1.96,32,25.5,1
2024,657041,575929,1.97,29,29.3,0
2024,680757,543309,2.02,44,27.1,0
2024,672642,608348,1.97,51,28.9,0
2024,596019,663743,1.93,60,27.6,0
2024,666624,673237,1.97,73,27.3,1
2024,691718,518735,2.09,31,30.0,0
2024,641584,673237,1.97,73,28.3,0
2024,668930,518735,2.09,31,29.3,0
2024,682829,542194,1.9,29,30.0,0
2025,701538,686948,1.95,63,28.5,1
2025,680776,666163,1.96,19,29.1,0
2025,665750,518595,2.0,33,28.8,0
2025,668930,693307,1.94,60,28.9,0
2025,670224,669224,1.97,42,28.3,0
2025,672724,663886,1.99,35,29.2,0
2025,592885,620443,1.87,29,28.2,1
2025,607208,672275,1.86,44,30.3,0
2025,683011,682663,1.99,53,28.3,0
2025,645277,624431,2.0,47,27.2,0
2025,805300,686948,1.95,63,28.1,0
2025,656716,620443,1.87,29,28.3,1
2025,683002,623168,1.92,38,28.5,0
2025,665926,669224,1.97,42,28.0,0
2021,670032,641470,2.02,30,28.2,0
2021,641313,467092,2.01,12,28.2,1
2024,606466,543877,1.96,32,27.1,1
2021,542340,506702,2.05,18,27.3,0
2021,641856,593590,1.9,7,27.6,0
2021,544369,455139,2.0,8,27.7,0
2021,502273,553882,2.0,47,27.7,0
2021,456715,607732,2.03,29,28.7,0
2021,543333,608348,1.98,21,26.0,1
2021,608070,606988,1.96,9,28.1,0
2021,657557,606988,1.96,9,27.5,1
2021,663757,457763,2.0,26,28.8,1
2021,595777,669257,1.96,56,26.2,1
2021,592885,518595,2.03,14,28.3,0
2022,663647,575929,1.93,23,27.9,0
2022,680757,669221,1.89,33,28.4,0
2022,643217,620443,2.0,20,27.6,0
2023,656775,641680,1.97,57,28.0,0
2023,667452,642336,1.95,24,28.4,0
2023,660670,607732,1.97,41,28.0,0
2023,669242,571912,1.93,36,28.8,0
2023,572816,455117,1.93,55,26.6,1
2023,672580,595453,1.99,18,28.2,0
2023,682998,672275,1.87,51,30.1,0
2023,668227,543309,1.98,43,28.4,0
2023,608070,643376,1.99,30,27.8,0
2024,571657,521692,2.01,24,25.9,0
2024,665161,521692,2.01,24,29.8,0
2024,663368,666163,1.92,47,29.6,0
2024,592885,673237,1.97,73,28.5,0
2024,656941,672275,1.85,58,25.8,0
2024,666160,673237,1.97,73,28.6,0
2024,657041,518595,1.98,37,29.3,1
2024,668715,575929,1.97,29,28.2,0
2024,596019,645305,1.96,18,27.6,0
2024,666139,645305,1.96,18,28.4,0
2024,660271,575929,1.97,29,28.1,0
2024,665833,571912,1.97,27,28.8,0
2025,686217,642851,1.96,19,28.9,0
2025,605141,592663,1.86,50,26.9,0
2025,682668,543877,1.94,39,29.6,0
2025,686555,673237,1.95,72,27.7,1
2025,660821,642136,2.0,38,27.0,0
2025,676694,643376,2.0,60,28.2,0
2025,666152,682626,1.93,35,29.3,1
2025,669127,592663,1.86,50,28.6,0
2025,673357,641680,2.01,44,29.0,0
2025,678882,518595,2.0,33,29.1,0
2025,677800,624431,2.0,47,27.6,0
2025,677951,663698,1.99,39,30.2,0
2025,808975,661388,1.96,46,28.7,0
2025,687263,641598,2.04,23,28.1,0
2025,691718,680779,1.89,25,29.5,1
2025,805367,680777,1.98,34,27.0,0
2025,681546,553869,1.91,25,28.5,0
2025,677942,672275,1.86,44,28.8,1
2021,605141,669221,1.9,31,27.2,0
2021,592206,669257,1.96,56,27.6,0
2021,621438,425877,1.91,24,28.6,1
2021,657077,596142,1.95,25,27.0,0
2021,607208,593590,1.9,7,30.6,0
2021,676694,553869,1.95,20,29.2,0
2021,596103,518595,2.03,14,28.4,0
2021,657193,595284,1.94,15,27.9,0
2022,641658,592200,2.01,13,29.4,0
2022,640458,669087,2.0,11,28.4,0
2022,516782,543592,2.01,36,28.0,1
2022,668942,661531,2.0,27,27.3,0
2022,656541,642851,2.04,15,28.7,0
2022,516416,608348,1.98,39,27.7,1
2023,641796,669127,1.9,68,29.2,0
2023,656582,642851,1.91,23,27.1,1
2023,668930,642336,1.95,24,29.4,0
2023,671221,542194,1.87,39,28.7,1
2023,542932,592663,1.83,50,29.3,0
2023,678662,660688,2.06,64,28.1,0
2023,682928,553882,2.0,25,28.6,0
2023,543510,543309,1.98,43,26.1,0
2023,682998,680777,1.95,27,30.1,0
2023,671739,672275,1.87,51,28.8,0
2023,665161,668670,1.95,30,29.4,0
2023,664056,665804,1.98,17,28.8,1
2023,596115,686676,1.91,17,28.8,1
2024,607208,644433,1.92,9,29.6,0
2024,672279,661388,1.96,58,28.3,0
2024,621020,621512,1.93,27,27.8,0
2024,686668,668832,2.0,18,29.3,0
2024,673490,669127,1.91,70,28.3,0
2024,596117,668939,1.96,55,28.0,0
2024,664728,595978,1.94,19,27.9,1
2024,672284,686780,1.93,39,27.9,0
2024,621028,660688,2.06,57,27.5,0
2024,666139,669127,1.91,70,28.4,0
2024,668227,669257,1.94,57,28.1,0
2024,678882,605170,2.02,35,28.8,1
2024,650333,671056,1.99,28,26.7,0
2024,694384,605170,2.02,35,26.4,0
2024,683011,669257,1.94,57,28.6,0
2025,669911,642851,1.96,19,27.0,0
2025,516782,650968,2.0,24,26.6,0
2025,663457,656180,1.93,35,27.0,1
2025,666149,682663,1.99,53,29.6,0
2025,677594,680777,1.98,34,29.2,0
2025,607043,669224,1.97,42,27.3,0
2025,671056,686948,1.95,63,26.3,0
2025,656775,668800,2.0,13,28.4,0
2025,677649,605170,2.05,28,28.8,0
2025,595777,673237,1.95,72,26.3,0
2025,666160,666023,1.9,35,28.5,0
2025,672761,686948,1.95,63,27.8,0
2021,665750,642336,1.94,17,29.7,0
2021,543939,605131,2.06,21,26.8,1
2021,516782,608700,2.09,26,28.5,0
2021,641487,543309,1.94,28,27.5,1
2021,592450,608700,2.09,26,27.7,0
2021,668227,543877,1.98,43,28.7,0
2022,657656,571466,1.99,38,27.6,0
2022,656537,596142,1.93,29,29.6,0
2022,670768,575929,1.93,23,28.2,0
2022,641857,425877,2.05,19,25.8,1
2022,624428,661388,1.97,18,26.8,0
2022,662139,661531,2.0,27,28.0,0
2022,668227,455117,1.92,40,28.8,1
2023,660670,575929,1.93,34,28.0,0
2023,680777,571466,1.99,21,26.5,1
2023,543807,669221,1.9,53,27.8,0
2023,622761,641680,1.97,57,30.1,0
2023,676801,669257,1.91,56,28.2,1
2023,693304,669257,1.91,56,28.8,1
2023,676801,691016,1.97,8,28.2,0
2023,682829,672275,1.87,51,30.5,1
2023,656716,596142,1.9,24,28.5,1
2023,666134,663743,2.01,44,28.4,0
2023,683011,650907,1.87,11,28.4,1
2023,553993,657136,1.92,60,26.4,0
2023,608070,518735,2.08,69,27.8,0
2023,678009,673237,1.9,35,29.0,0
2023,662139,666310,1.94,44,28.1,1
2023,646240,542194,1.87,39,26.0,0
2023,621438,668800,2.01,33,28.8,0
2023,621020,669221,1.9,53,28.4,0
2023,672695,669257,1.91,56,27.2,1
2023,665506,518595,1.97,39,27.8,0
2023,572233,641680,1.97,57,26.4,0
2024,664728,673237,1.97,73,27.9,0
2024,596103,686452,1.94,12,28.2,1
2024,672580,668670,1.93,30,27.9,0
2024,665161,681351,2.02,59,29.8,0
2024,666176,673237,1.97,73,28.8,0
2024,667472,665561,1.87,6,28.5,0
2024,680474,657136,1.95,46,27.8,0
2024,680700,672386,2.0,55,27.9,0
2024,682657,608348,1.97,51,27.6,0
2024,641343,660688,2.06,57,27.2,0
2024,672580,575929,1.97,29,27.9,0
2024,669364,543309,2.02,44,28.4,0
2024,673357,669224,1.98,45,28.8,1
2024,682626,672386,2.0,55,25.8,1
2024,666139,595978,1.94,19,28.4,0
2024,514888,681351,2.02,59,27.1,0
2025,679529,605131,2.11,11,26.7,0
2025,678662,592663,1.86,50,27.6,1
2025,687363,663698,1.99,39,30.2,0
2025,669242,641680,2.01,44,28.4,1
2025,701762,642136,2.0,38,27.1,1
2025,666971,686948,1.95,63,27.1,0
2025,682998,620443,1.87,29,29.8,1
2024,605141,682626,1.92,37,26.7,0
2025,702616,671056,2.0,6,28.6,0
2025,677594,668939,1.94,29,29.2,0
2025,691406,682626,1.93,35,26.7,1
2025,665926,665966,1.92,63,28.0,0
2025,667472,606992,1.88,8,28.4,0
2025,678662,645444,2.0,25,27.6,0
2025,696285,668800,2.0,13,29.3,1
2025,687401,663698,1.99,39,28.7,0
2025,677951,669127,1.89,67,30.2,0
2025,669707,686948,1.95,63,28.8,0
2021,544725,545358,2.02,25,28.4,0
2021,592348,543877,1.98,43,28.5,0
2021,502671,595978,1.95,27,26.3,0
2021,592663,553882,2.0,47,28.8,0
2021,656775,543877,1.98,43,28.5,0
2021,666182,596142,1.95,25,28.0,0
2022,677951,595978,1.95,39,30.3,0
2022,664056,608348,1.98,39,29.1,0
2022,675656,606992,1.95,29,27.6,0
2022,621433,455139,2.04,20,29.0,0
2022,644374,606992,1.95,29,28.4,1
2022,596115,545358,2.03,33,28.4,0
2022,596117,643376,1.98,22,27.3,0
2022,669352,664874,1.97,14,30.3,0
2022,669289,668939,1.93,24,27.0,1
2022,641933,543228,1.97,28,29.7,0
2022,669016,543228,1.97,28,28.8,1
2022,665833,519222,2.08,18,29.9,0
2022,668942,553882,2.01,23,27.3,0
2022,664238,606992,1.95,29,28.3,1
2023,678225,673237,1.9,35,29.7,0
2025,677951,669127,1.89,67,30.2,0
2023,677594,571466,1.99,21,29.6,1
2023,656541,571912,1.93,36,28.9,0
2023,642708,543309,1.98,43,29.4,0
2023,665926,518735,2.08,69,29.2,0
2023,656775,672386,1.98,48,28.0,0
2023,500743,660688,2.06,64,26.4,0
2023,664983,661388,1.95,47,30.0,0
2023,665742,596117,1.87,18,26.8,1
2023,665926,542194,1.87,39,29.2,0
2023,677347,691016,1.97,8,29.2,0
2023,677951,686676,1.91,17,30.5,0
2024,630105,665804,2.04,50,27.7,1
2024,678009,663698,2.0,35,29.3,0
2024,701538,661388,1.96,58,28.5,0
2024,701538,553869,1.9,33,28.5,1
2024,542932,605170,2.02,35,29.0,0
2024,641584,672515,1.89,26,28.3,0
2024,571657,660688,2.06,57,25.9,0
2024,662139,518735,2.09,31,28.5,1
2024,665487,668832,2.0,18,28.4,0
2024,666152,672386,2.0,55,29.4,0
2024,622761,669224,1.98,45,29.9,0
2024,686217,553869,1.9,33,29.3,0
2024,642715,669257,1.94,57,27.4,0
2024,664238,643376,1.99,38,28.0,0
2024,664728,607732,1.96,44,27.9,0
2024,676475,660688,2.06,57,25.5,0
2024,606466,672386,2.0,55,27.1,0
2024,686668,620443,1.87,19,29.3,1
2024,670764,672386,2.0,55,27.8,0
2024,680757,668939,1.96,55,27.1,0
2024,682177,668939,1.96,55,28.3,0
2024,656716,642020,1.97,15,28.4,0
2024,686611,663743,1.93,60,29.3,0
2025,670770,641680,2.01,44,26.7,0
2025,686217,669127,1.89,67,28.9,0
2025,802415,673237,1.95,72,29.6,0
2025,666149,696100,1.95,45,29.6,1
2025,596019,643376,2.0,60,27.4,0
2025,656775,624431,2.0,47,28.4,0
2025,672640,543309,2.03,45,28.5,0
2021,500871,624513,2.01,28,27.4,0
2021,641505,521692,1.97,28,28.6,0
2021,664059,608700,2.09,26,29.4,0
2021,641658,641680,1.99,25,29.8,0
2021,656537,641470,2.02,30,30.4,0
2021,641796,553882,2.0,47,30.6,1
2021,641432,572287,1.95,28,26.2,1
2021,642180,506702,2.05,18,29.1,0
2022,609275,571466,1.99,38,27.8,0
2022,543543,624431,1.99,29,27.1,0
2022,596117,669257,1.93,32,27.3,0
2022,592192,663728,1.99,47,27.5,1
2022,443558,669257,1.93,32,25.5,0
2022,606192,571466,1.99,38,28.6,1
2022,643289,624512,1.97,34,28.2,1
2022,571970,553869,1.94,28,27.2,0
2022,621439,624512,1.97,34,29.1,0
2022,622761,643376,1.98,22,30.1,1
2022,575929,660688,2.0,46,27.5,0
2022,516416,621512,1.96,30,27.7,0
2022,686681,595978,1.95,39,27.1,0
2022,543939,661531,2.0,27,26.2,0
2022,681987,571912,1.96,31,29.6,0
2022,641796,596142,1.93,29,30.2,1
2023,640492,669221,1.9,53,29.6,0
2023,622761,624431,1.99,18,30.1,0
2023,592450,668939,1.91,51,26.7,0
2023,656716,595956,1.97,30,28.5,0
2023,666624,668800,2.01,33,28.6,0
2023,670032,666310,1.94,44,27.7,1
2023,683011,669127,1.9,68,28.4,1
2023,666624,668800,2.01,33,28.6,0
2023,677950,543877,1.95,35,28.8,0
2023,677951,543228,1.99,45,30.5,0
2023,668227,607732,1.97,41,28.4,1
2023,592885,543228,1.99,45,28.1,1
2023,678009,669127,1.9,68,29.0,1
2024,683011,672386,2.0,55,28.6,1
2024,686554,663728,1.95,70,29.1,0
2024,673357,521692,2.01,24,28.8,0
2024,457759,624431,2.07,44,25.4,1
2024,543685,650907,1.94,8,26.8,0
2024,518692,643376,1.99,38,25.8,1
2024,665750,669257,1.94,57,28.5,0
2024,650859,672515,1.89,26,26.9,1
2024,502671,518735,2.09,31,26.3,0
2024,669364,661388,1.96,58,28.4,0
2024,676609,575929,1.97,29,28.3,0
2024,666149,518595,1.98,37,30.0,0
2024,702616,607732,1.96,44,29.4,0
2024,593428,656577,1.96,26,27.4,0
2024,656775,672275,1.85,58,28.3,0
2024,679032,661388,1.96,58,30.1,0
2025,691023,680777,1.98,34,28.7,1
2025,686611,605131,2.11,11,29.0,0
2025,596019,660688,2.0,42,27.4,1
2025,682928,595978,1.94,21,28.2,0
2025,656941,595978,1.94,21,25.9,0
2025,683002,661388,1.96,46,28.5,0
2025,677347,669127,1.89,67,29.0,0
2025,676609,665966,1.92,63,28.3,0
2025,686527,669224,1.97,42,26.5,1
2025,695578,624431,2.0,47,27.8,0
2021,660670,592663,1.84,16,29.4,0
2021,665862,595284,1.94,15,29.1,0
2021,642727,444489,1.94,21,27.3,0
2021,656537,680777,2.03,34,30.4,0
2021,656305,608596,2.04,26,28.1,0
2021,663993,608596,2.04,26,27.3,0
