team_side,inning,half,batting_score_diff,outs,use_now_team_we,wait_team_we,use_minus_wait,decision
away,1,top,0,1,0.4875977708675727,0.5138164330088697,-0.026218662141296978,KEEP
away,1,top,0,2,0.4564472932008812,0.4861184129681855,-0.0296711197673043,KEEP
away,1,top,1,0,0.6239624762459179,0.640572062581577,-0.01660958633565901,KEEP
away,1,top,1,1,0.5867964821138364,0.6109370797806868,-0.024140597666850394,KEEP
away,1,top,1,2,0.558200757869694,0.5861022370046334,-0.027901479134939344,KEEP
away,1,top,2,0,0.7109866192350406,0.7249075384478745,-0.013920919212833893,KEEP
away,1,top,2,1,0.6792442945832944,0.7000882016239292,-0.020843907040634768,KEEP
away,1,top,2,2,0.6546336078054776,0.6791234986173327,-0.024489890811855042,KEEP
away,1,top,3,0,0.7854783240441067,0.7965719623722218,-0.011093638328115163,KEEP
away,1,top,3,1,0.7598004934863808,0.7768189519006691,-0.017018458414288284,KEEP
away,1,top,3,2,0.7397708326042938,0.7600273975365692,-0.020256564932275456,KEEP
away,1,top,4,0,0.8458499192735436,0.8543074489310414,-0.008457529657497798,KEEP
away,1,top,4,1,0.8260359858174974,0.8392722381786657,-0.013236252361168321,KEEP
away,1,top,4,2,0.8105051771017879,0.8264252937781624,-0.015920116676374496,KEEP
away,1,top,5,0,0.8925068737543653,0.8987087117931792,-0.006201838038813912,KEEP
away,1,top,5,1,0.8778349331016556,0.8877025377810803,-0.009867604679424713,KEEP
away,1,top,5,2,0.8662896403663441,0.8782592884864056,-0.011969648120061405,KEEP
away,1,top,6,0,0.9271003964355883,0.9314964880104737,-0.004396091574885408,KEEP
away,1,top,6,1,0.9166193007147823,0.9237083055471192,-0.007089004832336987,KEEP
away,1,top,6,2,0.9083466944561983,0.9170050195940405,-0.008658325137842149,KEEP
away,1,top,7,0,0.9518389951024145,0.9548670403332851,-0.003028045230870524,KEEP
away,1,top,7,1,0.9445784134685561,0.9495106987006945,-0.0049322852321384,KEEP
away,1,top,7,2,0.9388360784385745,0.9448916056929294,-0.0060555272543548755,KEEP
away,1,top,8,0,0.968989816599267,0.9710307599741985,-0.0020409433749315475,KEEP
away,1,top,8,1,0.9640816534536164,0.9674240053247054,-0.003342351871089,KEEP
away,1,top,8,2,0.9601977945943102,0.9643130052929358,-0.004115210698625638,KEEP
away,1,top,9,0,0.9805883174275577,0.9819492466014391,-0.00136092917388142,KEEP
away,1,top,9,1,0.9773178558611135,0.979542739521045,-0.0022248836599314536,KEEP
away,1,top,9,2,0.9747340004665938,0.9774697767012571,-0.0027357762346633674,KEEP
away,1,top,10,0,0.9883129001916514,0.9892256468485081,-9.127466568567e-4,KEEP
away,1,top,10,1,0.986125387795678,0.987605101996363,-0.001479714200684934,KEEP
away,1,top,10,2,0.9844000146378152,0.9862056642242725,-0.0018056495864572364,KEEP
away,2,top,-10,0,0.013518731513928683,0.015122726320243474,-0.0016039948063147902,KEEP
away,2,top,-10,1,0.00972541632361712,0.011114597608824273,-0.0013891812852071528,KEEP
away,2,top,-10,2,0.0072364819867408725,0.0084030873237676,-0.001166605337026727,KEEP
away,2,top,-9,0,0.02218562609916097,0.024591704029080508,-0.0024060779299195367,KEEP
away,2,top,-9,1,0.01636509145419196,0.018535589607537872,-0.0021704981533459122,KEEP
away,2,top,-9,2,0.012471056829593707,0.014355456932408472,-0.001884400102814765,KEEP
away,2,top,-8,0,0.03553083087104636,0.03901971903009249,-0.003488888159046133,KEEP
away,2,top,-8,1,0.026835643265165077,0.03012727484317712,-0.003291631578012044,KEEP
